Date,Region,Product,Category,Campaign,Marketing_Channel,Quarter,Spend,Impressions,Clicks,Conversions,Conversion Rate,Revenue,CTR,CPC,ROI
11/3/2024,South,Mechanical Keyboard,Electronics,Social Media Boost Campaign,Direct Mail,Q1,5000,55000,1650,82,5%,20625,0.03,3.03,3.13
11/10/2024,North,Multivitamins,Health & Fitness,Social Media Boost Campaign,Email,Q1,1750,63000,3150,158,5%,23625,0.05,0.56,12.5
11/17/2024,North,Gym Gloves,Health & Fitness,Brand Awareness Campaign,Search Engine,Q2,3450,108000,4320,216,5%,32400,0.04,0.8,8.39
4/8/2024,South,Fitness Tracker,Electronics,Brand Awareness Campaign,Email,Q2,2100,71000,3550,178,5%,26625,0.05,0.59,11.68
4/15/2024,North,Yoga Pants,Fashion,Social Media Boost Campaign,Social Media,Q2,3150,95000,3800,190,5%,28500,0.04,0.83,8.05
4/22/2024,North,Yoga Mat,Health & Fitness,Retargeting Campaign,Direct Mail,Q2,5400,58000,1740,87,5%,21750,0.03,3.1,3.03
4/29/2024,South,Power Bank,Electronics,Email Promotion,Email,Q2,1900,66000,3300,165,5%,24750,0.05,0.58,12.03
5/6/2024,North,Yoga Mat,Health & Fitness,Email Promotion,Search Engine,Q2,3800,118000,4720,236,5%,35400,0.04,0.81,8.32
5/13/2024,East,Protein Powder,Health & Fitness,Seasonal Discount Campaign,Email,Q2,2300,74000,3700,185,5%,27750,0.05,0.62,11.07
5/20/2024,East,Smart Watch,Electronics,Summer Sale Campaign,Social Media,Q2,3000,91000,3640,182,5%,27300,0.04,0.82,8.1
5/27/2024,West,Hoodie,Fashion,Retargeting Campaign,Direct Mail,Q2,5200,56000,1680,84,5%,21000,0.03,3.1,3.04
6/3/2024,East,Smart Watch,Electronics,Social Media Boost Campaign,Search Engine,Q2,2800,90000,3600,180,5%,27000,0.04,0.78,8.64
6/10/2024,East,Gaming Mouse,Electronics,Retargeting Campaign,Email,Q2,2450,77000,3850,192,5%,28875,0.05,0.64,10.79
6/17/2024,North,Resistance Bands,Health & Fitness,Social Media Boost Campaign,Social Media,Q2,3400,101000,4040,202,5%,30300,0.04,0.84,7.91
6/24/2024,East,Running Shoes,Fashion,Seasonal Discount Campaign,Search Engine,Q2,2700,87000,3480,174,5%,26100,0.04,0.78,8.67
7/1/2024,South,Protein Powder,Health & Fitness,Summer Sale Campaign,Direct Mail,Q3,5800,61000,1830,92,5%,22875,0.03,3.17,2.94
7/8/2024,South,Power Bank,Electronics,Seasonal Discount Campaign,Social Media,Q3,3050,93000,3720,186,5%,27900,0.04,0.82,8.15
7/15/2024,West,Gaming Mouse,Electronics,Retargeting Campaign,Email,Q3,1950,69000,3450,172,5%,25875,0.05,0.57,12.27
7/22/2024,North,Yoga Pants,Fashion,Seasonal Discount Campaign,Search Engine,Q3,3600,113000,4520,226,5%,33900,0.04,0.8,8.42
7/29/2024,East,Hoodie,Fashion,New Product Launch,Email,Q3,2200,73000,3650,182,5%,27375,0.05,0.6,11.44
8/5/2024,South,Mechanical Keyboard,Electronics,Seasonal Discount Campaign,Direct Mail,Q3,5600,59000,1770,88,5%,22125,0.03,3.16,2.95
8/12/2024,West,Wireless Earbuds,Electronics,Search Engine Ads Campaign,Email,Q3,2050,70000,3500,175,5%,26250,0.05,0.59,11.8
8/19/2024,South,Fitness Tracker,Electronics,Summer Sale Campaign,Social Media,Q3,3250,98000,3920,196,5%,29400,0.04,0.83,8.05
8/26/2024,West,Hoodie,Fashion,Flash Sale Campaign,Search Engine,Q3,3950,121000,4840,242,5%,36300,0.04,0.82,8.19
9/2/2024,South,Sports Jacket,Fashion,Summer Sale Campaign,Email,Q3,2400,76000,3800,190,5%,28500,0.05,0.63,10.88
9/9/2024,North,Smart Watch,Electronics,Retargeting Campaign,Direct Mail,Q3,5300,57000,1710,86,5%,21375,0.03,3.1,3.03
9/16/2024,North,Yoga Pants,Fashion,Summer Sale Campaign,Email,Q3,2150,72000,3600,180,5%,27000,0.05,0.6,11.56
9/23/2024,South,Laptop Stand,Electronics,Retargeting Campaign,Social Media,Q4,3100,95000,3800,190,5%,28500,0.04,0.82,8.19
9/30/2024,North,Mechanical Keyboard,Electronics,Retargeting Campaign,Search Engine,Q4,4000,125000,5000,250,5%,37500,0.04,0.8,8.38
10/7/2024,West,Power Bank,Electronics,Seasonal Discount Campaign,Direct Mail,Q4,5700,60000,1800,90,5%,22500,0.03,3.17,2.95
10/14/2024,West,Denim Jeans,Fashion,Email Promotion,Email,Q4,2300,75000,3750,188,5%,28125,0.05,0.61,11.23
10/21/2024,North,Yoga Mat,Health & Fitness,Summer Sale Campaign,Social Media,Q4,3500,104000,4160,208,5%,31200,0.04,0.84,7.91
10/28/2024,East,Yoga Pants,Fashion,New Product Launch,Search Engine,Q4,2900,94000,3760,188,5%,28200,0.04,0.77,8.72
11/4/2024,West,Yoga Mat,Health & Fitness,Email Promotion,Email,Q4,2050,71000,3550,178,5%,26625,0.05,0.58,11.99
11/11/2024,West,Wireless Earbuds,Electronics,Search Engine Ads Campaign,Direct Mail,Q4,5400,58000,1740,87,5%,21750,0.03,3.1,3.03
11/18/2024,North,Power Bank,Electronics,Retargeting Campaign,Email,Q4,2500,78000,3900,195,5%,29250,0.05,0.64,10.7
11/25/2024,East,Sneakers,Fashion,New Product Launch,Social Media,Q4,3650,108000,4320,216,5%,32400,0.04,0.84,7.88
12/2/2024,East,Gaming Mouse,Electronics,Retargeting Campaign,Search Engine,Q4,3200,100000,4000,200,5%,30000,0.04,0.8,8.38
12/9/2024,North,Wireless Earbuds,Electronics,Social Media Boost Campaign,Email,Q4,2200,73000,3650,182,5%,27375,0.05,0.6,11.44
12/16/2024,West,Resistance Bands,Health & Fitness,Summer Sale Campaign,Direct Mail,Q4,5900,62000,1860,93,5%,23250,0.03,3.17,2.94
12/23/2024,South,Multivitamins,Health & Fitness,Retargeting Campaign,Social Media,Q4,3350,101000,4040,202,5%,30300,0.04,0.83,8.04
12/30/2024,North,Multivitamins,Health & Fitness,Brand Awareness Campaign,Direct Mail,Q4,5100,55000,1650,82,5%,20625,0.03,3.09,3.04
8/26/2024,South,Hoodie,Fashion,Summer Sale Campaign,Social Media,Q1,2650,82000,3280,164,5%,24600,0.04,0.81,8.28
9/2/2024,West,Mechanical Keyboard,Electronics,New Product Launch,Email,Q1,1950,67000,3350,168,5%,25125,0.05,0.58,11.88
9/9/2024,North,Sneakers,Fashion,Search Engine Ads Campaign,Search Engine,Q1,3550,112000,4480,224,5%,33600,0.04,0.79,8.46
9/16/2024,North,Gym Gloves,Health & Fitness,Seasonal Discount Campaign,Direct Mail,Q1,4900,53000,1590,80,5%,19875,0.03,3.08,3.06
9/23/2024,North,Smart Watch,Electronics,Summer Sale Campaign,Email,Q1,1700,62000,3100,155,5%,23250,0.05,0.55,12.68
9/30/2024,South,Mechanical Keyboard,Electronics,Social Media Boost Campaign,Social Media,Q1,2900,88000,3520,176,5%,26400,0.04,0.82,8.1
10/7/2024,North,Denim Jeans,Fashion,Loyalty Program Campaign,Email,Q1,2150,72000,3600,180,5%,27000,0.05,0.6,11.56
10/14/2024,North,Sports Jacket,Fashion,New Product Launch,Search Engine,Q1,3850,119000,4760,238,5%,35700,0.04,0.81,8.27
10/21/2024,North,Hoodie,Fashion,Influencer Marketing Campaign,Direct Mail,Q1,5600,59000,1770,88,5%,22125,0.03,3.16,2.95
10/28/2024,South,Mechanical Keyboard,Electronics,Summer Sale Campaign,Email,Q1,2050,70000,3500,175,5%,26250,0.05,0.59,11.8
11/4/2024,West,Yoga Mat,Health & Fitness,Retargeting Campaign,Social Media,Q1,3200,97000,3880,194,5%,29100,0.04,0.82,8.09
11/11/2024,North,Bluetooth Speaker,Electronics,Email Promotion,Email,Q1,2300,74000,3700,185,5%,27750,0.05,0.62,11.07
11/18/2024,West,Denim Jeans,Fashion,Retargeting Campaign,Search Engine,Q2,2750,88000,3520,176,5%,26400,0.04,0.78,8.6
11/25/2024,West,Smart Watch,Electronics,Summer Sale Campaign,Email,Q2,2250,73000,3650,182,5%,27375,0.05,0.62,11.17
6/27/2023,North,Resistance Bands,Health & Fitness,Social Media Boost Campaign,Social Media,Q3,3100,95000,3800,190,5%,28500,0.04,0.82,8.19
7/4/2023,South,Running Shoes,Fashion,Loyalty Program Campaign,Email,Q3,1900,66000,3300,165,5%,24750,0.05,0.58,12.03
7/11/2023,North,Sneakers,Fashion,Retargeting Campaign,Search Engine,Q3,3950,121000,4840,242,5%,36300,0.04,0.82,8.19
7/18/2023,North,Casual T-Shirt,Fashion,Retargeting Campaign,Direct Mail,Q3,5800,61000,1830,92,5%,22875,0.03,3.17,2.94
7/25/2023,North,Laptop Stand,Electronics,Seasonal Discount Campaign,Email,Q3,2350,75000,3750,188,5%,28125,0.05,0.63,10.97
8/1/2023,West,Wireless Earbuds,Electronics,Retargeting Campaign,Social Media,Q3,3400,102000,4080,204,5%,30600,0.04,0.83,8
8/8/2023,West,Yoga Pants,Fashion,Retargeting Campaign,Email,Q3,2150,72000,3600,180,5%,27000,0.05,0.6,11.56
8/15/2023,South,Fitness Tracker,Electronics,Retargeting Campaign,Search Engine,Q3,2850,91000,3640,182,5%,27300,0.04,0.78,8.58
8/22/2023,West,Denim Jeans,Fashion,Flash Sale Campaign,Direct Mail,Q3,5400,58000,1740,87,5%,21750,0.03,3.1,3.03
8/29/2023,South,Laptop Stand,Electronics,Social Media Boost Campaign,Email,Q3,2050,70000,3500,175,5%,26250,0.05,0.59,11.8
9/5/2023,West,Wireless Earbuds,Electronics,Summer Sale Campaign,Social Media,Q3,3250,99000,3960,198,5%,29700,0.04,0.82,8.14
9/12/2023,East,Laptop Stand,Electronics,Loyalty Program Campaign,Email,Q3,2400,76000,3800,190,5%,28500,0.05,0.63,10.88
9/19/2023,North,Bluetooth Speaker,Electronics,Flash Sale Campaign,Search Engine,Q3,3750,117000,4680,234,5%,35100,0.04,0.8,8.36
9/26/2023,North,Denim Jeans,Fashion,Retargeting Campaign,Direct Mail,Q4,5600,60000,1800,90,5%,22500,0.03,3.11,3.02
10/3/2023,West,Running Shoes,Fashion,Flash Sale Campaign,Email,Q4,2550,78000,3900,195,5%,29250,0.05,0.65,10.47
10/10/2023,South,Yoga Mat,Health & Fitness,Summer Sale Campaign,Social Media,Q4,3150,96000,3840,192,5%,28800,0.04,0.82,8.14
10/17/2023,North,Bluetooth Speaker,Electronics,Search Engine Ads Campaign,Email,Q4,2250,74000,3700,185,5%,27750,0.05,0.61,11.33
10/24/2023,West,Bluetooth Speaker,Electronics,Social Media Boost Campaign,Search Engine,Q4,3650,114000,4560,228,5%,34200,0.04,0.8,8.37
10/31/2023,North,Denim Jeans,Fashion,Brand Awareness Campaign,Direct Mail,Q4,5200,56000,1680,84,5%,21000,0.03,3.1,3.04
11/7/2023,West,Hoodie,Fashion,Summer Sale Campaign,Email,Q4,2450,77000,3850,192,5%,28875,0.05,0.64,10.79
11/14/2023,East,Hoodie,Fashion,Flash Sale Campaign,Social Media,Q4,3350,101000,4040,202,5%,30300,0.04,0.83,8.04
11/21/2023,West,Laptop Stand,Electronics,Retargeting Campaign,Email,Q4,2150,72000,3600,180,5%,27000,0.05,0.6,11.56
11/28/2023,South,Bluetooth Speaker,Electronics,Summer Sale Campaign,Search Engine,Q4,4050,124000,4960,248,5%,37200,0.04,0.82,8.19
12/5/2023,West,Denim Jeans,Fashion,Retargeting Campaign,Direct Mail,Q4,5900,62000,1860,93,5%,23250,0.03,3.17,2.94
12/12/2023,South,Resistance Bands,Health & Fitness,Brand Awareness Campaign,Email,Q4,2350,75000,3750,188,5%,28125,0.05,0.63,10.97
12/19/2023,North,Gaming Mouse,Electronics,Brand Awareness Campaign,Social Media,Q4,3500,105000,4200,210,5%,31500,0.04,0.83,8
12/26/2023,South,Fitness Tracker,Electronics,Social Media Boost Campaign,Email,Q4,2650,80000,4000,200,5%,30000,0.05,0.66,10.32
1/2/2024,North,Casual T-Shirt,Fashion,Flash Sale Campaign,Search Engine,Q1,2950,94000,3760,188,5%,28200,0.04,0.78,8.56
1/9/2024,West,Casual T-Shirt,Fashion,Retargeting Campaign,Direct Mail,Q1,5000,54000,1620,81,5%,20250,0.03,3.09,3.05
1/16/2024,East,Casual T-Shirt,Fashion,Email Promotion,Email,Q1,1850,65000,3250,162,5%,24375,0.05,0.57,12.18
1/23/2024,North,Gaming Mouse,Electronics,Search Engine Ads Campaign,Social Media,Q1,3200,98000,3920,196,5%,29400,0.04,0.82,8.19
1/30/2024,North,Bluetooth Speaker,Electronics,Email Promotion,Email,Q1,2200,73000,3650,182,5%,27375,0.05,0.6,11.44
2/6/2024,South,Casual T-Shirt,Fashion,Retargeting Campaign,Search Engine,Q1,3700,116000,4640,232,5%,34800,0.04,0.8,8.41
2/13/2024,South,Laptop Stand,Electronics,Retargeting Campaign,Direct Mail,Q1,5400,58000,1740,87,5%,21750,0.03,3.1,3.03
2/20/2024,North,Mechanical Keyboard,Electronics,Summer Sale Campaign,Email,Q1,2300,75000,3750,188,5%,28125,0.05,0.61,11.23
2/27/2024,South,Wireless Earbuds,Electronics,Seasonal Discount Campaign,Social Media,Q1,3100,95000,3800,190,5%,28500,0.04,0.82,8.19
3/5/2024,South,Resistance Bands,Health & Fitness,Email Promotion,Email,Q1,2000,69000,3450,172,5%,25875,0.05,0.58,11.94
3/12/2024,South,Fitness Tracker,Electronics,New Product Launch,Search Engine,Q1,3600,113000,4520,226,5%,33900,0.04,0.8,8.42
8/26/2024,North,Smart Watch,Electronics,Retargeting Campaign,Direct Mail,Q2,5100,55000,1650,82,5%,20625,0.03,3.09,3.04
9/2/2024,South,Gaming Mouse,Electronics,Summer Sale Campaign,Email,Q2,2150,72000,3600,180,5%,27000,0.05,0.6,11.56
9/9/2024,South,Protein Powder,Health & Fitness,Retargeting Campaign,Social Media,Q2,3300,100000,4000,200,5%,30000,0.04,0.82,8.09
9/16/2024,East,Gaming Mouse,Electronics,Brand Awareness Campaign,Email,Q2,1950,68000,3400,170,5%,25500,0.05,0.57,12.08
9/23/2024,West,Yoga Pants,Fashion,Loyalty Program Campaign,Search Engine,Q2,3900,120000,4800,240,5%,36000,0.04,0.81,8.23
9/30/2024,South,Mechanical Keyboard,Electronics,Retargeting Campaign,Direct Mail,Q2,5700,60000,1800,90,5%,22500,0.03,3.17,2.95
10/7/2024,East,Gym Gloves,Health & Fitness,Brand Awareness Campaign,Email,Q2,2400,76000,3800,190,5%,28500,0.05,0.63,10.88
10/14/2024,South,Bluetooth Speaker,Electronics,Loyalty Program Campaign,Social Media,Q2,3450,103000,4120,206,5%,30900,0.04,0.84,7.96
10/21/2024,North,Resistance Bands,Health & Fitness,Search Engine Ads Campaign,Email,Q2,2550,78000,3900,195,5%,29250,0.05,0.65,10.47
10/28/2024,West,Sneakers,Fashion,Cart Abandonment Campaign,Search Engine,Q2,2900,93000,3720,186,5%,27900,0.04,0.78,8.62
11/4/2024,South,Hoodie,Fashion,Summer Sale Campaign,Direct Mail,Q2,5300,57000,1710,86,5%,21375,0.03,3.1,3.03
11/11/2024,North,Protein Powder,Health & Fitness,Retargeting Campaign,Email,Q2,2050,71000,3550,178,5%,26625,0.05,0.58,11.99
11/18/2024,East,Casual T-Shirt,Fashion,New Product Launch,Social Media,Q2,3400,102000,4080,204,5%,30600,0.04,0.83,8
11/25/2024,East,Mechanical Keyboard,Electronics,Search Engine Ads Campaign,Email,Q2,2250,74000,3700,185,5%,27750,0.05,0.61,11.33
6/25/2024,North,Denim Jeans,Fashion,Social Media Boost Campaign,Search Engine,Q3,3800,118000,4720,236,5%,35400,0.04,0.81,8.32
7/2/2024,North,Sneakers,Fashion,New Product Launch,Direct Mail,Q3,5600,59000,1770,88,5%,22125,0.03,3.16,2.95
7/9/2024,South,Wireless Earbuds,Electronics,Brand Awareness Campaign,Email,Q3,2450,77000,3850,192,5%,28875,0.05,0.64,10.79
7/16/2024,East,Sports Jacket,Fashion,Retargeting Campaign,Social Media,Q3,3150,97000,3880,194,5%,29100,0.04,0.81,8.24
7/23/2024,South,Yoga Mat,Health & Fitness,Search Engine Ads Campaign,Email,Q3,2300,75000,3750,188,5%,28125,0.05,0.61,11.23
7/30/2024,South,Sports Jacket,Fashion,Loyalty Program Campaign,Search Engine,Q3,3700,115000,4600,230,5%,34500,0.04,0.8,8.32
8/6/2024,East,Sports Jacket,Fashion,Cart Abandonment Campaign,Direct Mail,Q3,5500,59000,1770,88,5%,22125,0.03,3.11,3.02
8/13/2024,West,Fitness Tracker,Electronics,Search Engine Ads Campaign,Email,Q3,2350,76000,3800,190,5%,28500,0.05,0.62,11.13
8/20/2024,South,Mechanical Keyboard,Electronics,Brand Awareness Campaign,Social Media,Q3,3350,101000,4040,202,5%,30300,0.04,0.83,8.04
8/27/2024,South,Gaming Mouse,Electronics,Influencer Marketing Campaign,Email,Q3,2100,72000,3600,180,5%,27000,0.05,0.58,11.86
9/3/2024,West,Gaming Mouse,Electronics,Social Media Boost Campaign,Search Engine,Q4,4000,123000,4920,246,5%,36900,0.04,0.81,8.23
9/10/2024,South,Fitness Tracker,Electronics,Retargeting Campaign,Direct Mail,Q4,5900,62000,1860,93,5%,23250,0.03,3.17,2.94
9/17/2024,West,Sports Jacket,Fashion,Social Media Boost Campaign,Email,Q4,2500,79000,3950,198,5%,29625,0.05,0.63,10.85
9/24/2024,South,Casual T-Shirt,Fashion,Loyalty Program Campaign,Social Media,Q4,3550,107000,4280,214,5%,32100,0.04,0.83,8.04
10/1/2024,West,Yoga Mat,Health & Fitness,Summer Sale Campaign,Email,Q4,2650,81000,4050,202,5%,30375,0.05,0.65,10.46
10/8/2024,East,Yoga Pants,Fashion,Summer Sale Campaign,Search Engine,Q4,3050,96000,3840,192,5%,28800,0.04,0.79,8.44
10/15/2024,North,Denim Jeans,Fashion,Retargeting Campaign,Direct Mail,Q4,5400,58000,1740,87,5%,21750,0.03,3.1,3.03
10/22/2024,South,Power Bank,Electronics,Summer Sale Campaign,Email,Q4,2250,74000,3700,185,5%,27750,0.05,0.61,11.33
10/29/2024,North,Wireless Earbuds,Electronics,Loyalty Program Campaign,Social Media,Q4,3450,104000,4160,208,5%,31200,0.04,0.83,8.04
11/5/2024,South,Wireless Earbuds,Electronics,Social Media Boost Campaign,Email,Q4,2550,79000,3950,198,5%,29625,0.05,0.65,10.62
11/12/2024,South,Fitness Tracker,Electronics,Retargeting Campaign,Search Engine,Q4,3850,120000,4800,240,5%,36000,0.04,0.8,8.35
11/19/2024,North,Power Bank,Electronics,Social Media Boost Campaign,Direct Mail,Q4,5700,61000,1830,92,5%,22875,0.03,3.11,3.01
11/26/2024,North,Laptop Stand,Electronics,Email Promotion,Email,Q4,2750,83000,4150,208,5%,31125,0.05,0.66,10.32
12/3/2024,North,Bluetooth Speaker,Electronics,Social Media Boost Campaign,Social Media,Q4,3250,99000,3960,198,5%,29700,0.04,0.82,8.14
12/10/2024,North,Running Shoes,Fashion,Summer Sale Campaign,Email,Q4,2400,77000,3850,192,5%,28875,0.05,0.62,11.03
12/17/2024,South,Denim Jeans,Fashion,Summer Sale Campaign,Search Engine,Q4,3750,117000,4680,234,5%,35100,0.04,0.8,8.36
12/24/2024,North,Casual T-Shirt,Fashion,Summer Sale Campaign,Direct Mail,Q4,5600,60000,1800,90,5%,22500,0.03,3.11,3.02
12/31/2024,South,Smart Watch,Electronics,Retargeting Campaign,Email,Q4,2600,81000,4050,202,5%,30375,0.05,0.64,10.68
12/5/2023,North,Bluetooth Speaker,Electronics,Retargeting Campaign,Email,Q1,1450,58000,2900,145,5%,21750,0.05,0.5,14
12/12/2023,North,Denim Jeans,Fashion,Retargeting Campaign,Search Engine,Q1,2850,89000,3560,178,5%,26700,0.04,0.8,8.37
12/19/2023,West,Sneakers,Fashion,Social Media Boost Campaign,Social Media,Q1,2250,74000,3700,185,5%,27750,0.05,0.61,11.33
12/26/2023,South,Gym Gloves,Health & Fitness,Summer Sale Campaign,Direct Mail,Q1,4700,51000,1530,77,5%,19125,0.03,3.07,3.07
12/5/2023,East,Smart Watch,Electronics,Loyalty Program Campaign,Social Media,Q1,2950,90000,3600,180,5%,27000,0.04,0.82,8.15
12/12/2023,East,Bluetooth Speaker,Electronics,Brand Awareness Campaign,Email,Q1,1750,63000,3150,158,5%,23625,0.05,0.56,12.5
12/19/2023,North,Laptop Stand,Electronics,Summer Sale Campaign,Search Engine,Q1,3350,105000,4200,210,5%,31500,0.04,0.8,8.4
12/26/2023,East,Wireless Earbuds,Electronics,Social Media Boost Campaign,Email,Q1,1950,67000,3350,168,5%,25125,0.05,0.58,11.88
3/1/2023,South,Sneakers,Fashion,Email Promotion,Direct Mail,Q1,5200,56000,1680,84,5%,21000,0.03,3.1,3.04
12/5/2023,East,Sneakers,Fashion,Retargeting Campaign,Social Media,Q1,2750,86000,3440,172,5%,25800,0.04,0.8,8.38
12/12/2023,East,Gym Gloves,Health & Fitness,Summer Sale Campaign,Email,Q1,2050,70000,3500,175,5%,26250,0.05,0.59,11.8
12/19/2023,West,Denim Jeans,Fashion,Summer Sale Campaign,Search Engine,Q2,3550,111000,4440,222,5%,33300,0.04,0.8,8.38
12/26/2023,East,Mechanical Keyboard,Electronics,Retargeting Campaign,Email,Q2,2350,75000,3750,188,5%,28125,0.05,0.63,10.97
4/5/2023,South,Wireless Earbuds,Electronics,Retargeting Campaign,Direct Mail,Q2,5400,58000,1740,87,5%,21750,0.03,3.1,3.03
4/12/2023,South,Smart Watch,Electronics,Influencer Marketing Campaign,Social Media,Q2,3050,94000,3760,188,5%,28200,0.04,0.81,8.25
4/19/2023,North,Power Bank,Electronics,Flash Sale Campaign,Email,Q2,2150,72000,3600,180,5%,27000,0.05,0.6,11.56
4/26/2023,South,Protein Powder,Health & Fitness,New Product Launch,Search Engine,Q2,3750,117000,4680,234,5%,35100,0.04,0.8,8.36
5/3/2023,East,Sports Jacket,Fashion,Summer Sale Campaign,Email,Q2,2550,78000,3900,195,5%,29250,0.05,0.65,10.47
5/10/2023,South,Power Bank,Electronics,Search Engine Ads Campaign,Direct Mail,Q2,5000,54000,1620,81,5%,20250,0.03,3.09,3.05
5/17/2023,East,Running Shoes,Fashion,Summer Sale Campaign,Social Media,Q2,3150,97000,3880,194,5%,29100,0.04,0.81,8.24
5/24/2023,South,Wireless Earbuds,Electronics,Retargeting Campaign,Email,Q2,2250,74000,3700,185,5%,27750,0.05,0.61,11.33
5/31/2023,South,Protein Powder,Health & Fitness,Retargeting Campaign,Search Engine,Q2,3450,109000,4360,218,5%,32700,0.04,0.79,8.48
6/7/2023,South,Smart Watch,Electronics,Summer Sale Campaign,Email,Q2,1950,68000,3400,170,5%,25500,0.05,0.57,12.08
6/14/2023,East,Sneakers,Fashion,Summer Sale Campaign,Direct Mail,Q2,5600,60000,1800,90,5%,22500,0.03,3.11,3.02
6/21/2023,West,Smart Watch,Electronics,Seasonal Discount Campaign,Social Media,Q2,3350,101000,4040,202,5%,30300,0.04,0.83,8.04
6/28/2023,South,Laptop Stand,Electronics,Summer Sale Campaign,Email,Q2,2450,77000,3850,192,5%,28875,0.05,0.64,10.79
7/5/2023,West,Laptop Stand,Electronics,Search Engine Ads Campaign,Search Engine,Q3,3650,114000,4560,228,5%,34200,0.04,0.8,8.37
7/12/2023,East,Gym Gloves,Health & Fitness,Email Promotion,Email,Q3,2250,73000,3650,182,5%,27375,0.05,0.62,11.17
7/19/2023,South,Running Shoes,Fashion,Summer Sale Campaign,Direct Mail,Q3,5500,59000,1770,88,5%,22125,0.03,3.11,3.02
7/26/2023,North,Sneakers,Fashion,Social Media Boost Campaign,Social Media,Q3,3250,99000,3960,198,5%,29700,0.04,0.82,8.14
8/2/2023,North,Protein Powder,Health & Fitness,Brand Awareness Campaign,Email,Q3,2050,71000,3550,178,5%,26625,0.05,0.58,11.99
8/9/2023,South,Sneakers,Fashion,Summer Sale Campaign,Search Engine,Q3,3850,119000,4760,238,5%,35700,0.04,0.81,8.27
8/16/2023,North,Gaming Mouse,Electronics,Summer Sale Campaign,Email,Q3,2550,79000,3950,198,5%,29625,0.05,0.65,10.62
8/23/2023,North,Sneakers,Fashion,New Product Launch,Direct Mail,Q3,5300,57000,1710,86,5%,21375,0.03,3.1,3.03
8/30/2023,East,Wireless Earbuds,Electronics,Summer Sale Campaign,Social Media,Q3,3150,96000,3840,192,5%,28800,0.04,0.82,8.14
9/6/2023,East,Smart Watch,Electronics,Email Promotion,Email,Q3,2350,75000,3750,188,5%,28125,0.05,0.63,10.97
9/13/2023,South,Mechanical Keyboard,Electronics,Summer Sale Campaign,Search Engine,Q3,3950,122000,4880,244,5%,36600,0.04,0.81,8.27
9/20/2023,North,Smart Watch,Electronics,Retargeting Campaign,Email,Q3,2650,81000,4050,202,5%,30375,0.05,0.65,10.46
9/27/2023,South,Protein Powder,Health & Fitness,Retargeting Campaign,Direct Mail,Q4,5700,61000,1830,92,5%,22875,0.03,3.11,3.01
10/4/2023,South,Multivitamins,Health & Fitness,Retargeting Campaign,Social Media,Q4,3450,104000,4160,208,5%,31200,0.04,0.83,8.04
10/11/2023,East,Running Shoes,Fashion,Summer Sale Campaign,Email,Q4,2750,83000,4150,208,5%,31125,0.05,0.66,10.32
10/18/2023,North,Power Bank,Electronics,Summer Sale Campaign,Search Engine,Q4,3750,117000,4680,234,5%,35100,0.04,0.8,8.36
10/25/2023,South,Gym Gloves,Health & Fitness,Retargeting Campaign,Email,Q4,2450,77000,3850,192,5%,28875,0.05,0.64,10.79
11/1/2023,East,Resistance Bands,Health & Fitness,Search Engine Ads Campaign,Direct Mail,Q4,5900,62000,1860,93,5%,23250,0.03,3.17,2.94
11/8/2023,West,Sneakers,Fashion,Social Media Boost Campaign,Social Media,Q4,3550,107000,4280,214,5%,32100,0.04,0.83,8.04
11/15/2023,South,Gym Gloves,Health & Fitness,Retargeting Campaign,Email,Q4,2850,85000,4250,212,5%,31875,0.05,0.67,10.18
11/22/2023,East,Denim Jeans,Fashion,Search Engine Ads Campaign,Search Engine,Q4,3950,121000,4840,242,5%,36300,0.04,0.82,8.19
11/29/2023,East,Hoodie,Fashion,Search Engine Ads Campaign,Email,Q4,2650,81000,4050,202,5%,30375,0.05,0.65,10.46
12/6/2023,North,Gaming Mouse,Electronics,Seasonal Discount Campaign,Direct Mail,Q4,5800,61000,1830,92,5%,22875,0.03,3.17,2.94
12/13/2023,South,Hoodie,Fashion,Summer Sale Campaign,Social Media,Q4,3650,110000,4400,220,5%,33000,0.04,0.83,8.04
12/20/2023,East,Wireless Earbuds,Electronics,New Product Launch,Email,Q4,2550,79000,3950,198,5%,29625,0.05,0.65,10.62
12/27/2023,West,Hoodie,Fashion,Social Media Boost Campaign,Search Engine,Q4,4050,124000,4960,248,5%,37200,0.04,0.82,8.19
1/3/2024,East,Running Shoes,Fashion,Summer Sale Campaign,Email,Q1,1550,60000,3000,150,5%,22500,0.05,0.52,13.52
1/10/2024,West,Resistance Bands,Health & Fitness,Summer Sale Campaign,Search Engine,Q1,2950,92000,3680,184,5%,27600,0.04,0.8,8.36
1/17/2024,North,Bluetooth Speaker,Electronics,Brand Awareness Campaign,Social Media,Q1,2350,75000,3750,188,5%,28125,0.05,0.63,10.97
1/24/2024,North,Running Shoes,Fashion,Retargeting Campaign,Direct Mail,Q1,4900,53000,1590,80,5%,19875,0.03,3.08,3.06
1/31/2024,South,Sports Jacket,Fashion,Retargeting Campaign,Social Media,Q1,3050,93000,3720,186,5%,27900,0.04,0.82,8.15
2/7/2024,West,Wireless Earbuds,Electronics,Search Engine Ads Campaign,Email,Q1,1850,65000,3250,162,5%,24375,0.05,0.57,12.18
2/14/2024,West,Casual T-Shirt,Fashion,Email Promotion,Search Engine,Q1,3450,108000,4320,216,5%,32400,0.04,0.8,8.39
